Angle,Intensity
6.818544149,711
6.831674432,715
6.844804715,723
6.857934997,680
6.87106528,689
6.884195563,716
6.897325845,681
6.910456128,681
6.923586411,705
6.936716693,727
6.949846976,717
6.962977259,697
6.976107541,681
6.989237824,760
7.002368107,708
7.01549839,680
7.028628672,666
7.041758955,688
7.054889238,707
7.06801952,719
7.081149803,745
7.094280086,687
7.107410368,706
7.120540651,694
7.133670934,679
7.146801216,678
7.159931499,726
7.173061782,688
7.186192064,703
7.199322347,743
7.21245263,683
7.225582912,727
7.238713195,695
7.251843478,693
7.26497376,710
7.278104043,687
7.291234326,732
7.304364608,648
7.317494891,670
7.330625174,651
7.343755456,719
7.356885739,656
7.370016022,727
7.383146304,687
7.396276587,727
7.40940687,737
7.422537152,697
7.435667435,712
7.448797718,723
7.461928001,709
7.475058283,668
7.488188566,679
7.501318849,764
7.514449131,649
7.527579414,689
7.540709697,676
7.553839979,734
7.566970262,729
7.580100545,677
7.593230827,700
7.60636111,664
7.619491393,738
7.632621675,712
7.645751958,709
7.658882241,691
7.672012523,699
7.685142806,671
7.698273089,677
7.711403371,688
7.724533654,678
7.737663937,659
7.750794219,664
7.763924502,645
7.777054785,734
7.790185067,634
7.80331535,647
7.816445633,714
7.829575915,653
7.842706198,637
7.855836481,661
7.868966763,705
7.882097046,722
7.895227329,690
7.908357612,695
7.921487894,673
7.934618177,674
7.94774846,681
7.960878742,700
7.974009025,705
7.987139308,700
8.00026959,671
8.013399873,672
8.026530156,707
8.039660438,715
8.052790721,679
8.065921004,685
8.079051286,698
8.092181569,703
8.105311852,690
8.118442134,645
8.131572417,666
8.1447027,627
8.157832982,715
8.170963265,672
8.184093548,652
8.19722383,673
8.210354113,670
8.223484396,701
8.236614678,650
8.249744961,687
8.262875244,714
8.276005526,705
8.289135809,628
8.302266092,711
8.315396375,695
8.328526657,675
8.34165694,700
8.354787223,637
8.367917505,683
8.381047788,701
8.394178071,676
8.407308353,677
8.420438636,661
8.433568919,669
8.446699201,719
8.459829484,629
8.472959767,702
8.486090049,622
8.499220332,652
8.512350615,696
8.525480897,668
8.53861118,636
8.551741463,667
8.564871745,671
8.578002028,615
8.591132311,682
8.604262593,649
8.617392876,707
8.630523159,660
8.643653441,655
8.656783724,629
8.669914007,704
8.683044289,657
8.696174572,638
8.709304855,691
8.722435137,698
8.73556542,640
8.748695703,700
8.761825986,642
8.774956268,663
8.788086551,689
8.801216834,683
8.814347116,733
8.827477399,672
8.840607682,669
8.853737964,696
8.866868247,630
8.87999853,656
8.893128812,668
8.906259095,642
8.919389378,656
8.93251966,681
8.945649943,665
8.958780226,650
8.971910508,662
8.985040791,630
8.998171074,618
9.011301356,646
9.024431639,615
9.037561922,615
9.050692204,607
9.063822487,624
9.07695277,640
9.090083052,666
9.103213335,641
9.116343618,698
9.1294739,612
9.142604183,667
9.155734466,653
9.168864748,700
9.181995031,631
9.195125314,608
9.208255597,604
9.221385879,629
9.234516162,689
9.247646445,601
9.260776727,594
9.27390701,632
9.287037293,646
9.300167575,653
9.313297858,637
9.326428141,621
9.339558423,621
9.352688706,601
9.365818989,654
9.378949271,621
9.392079554,641
9.405209837,630
9.418340119,621
9.431470402,653
9.444600685,640
9.457730967,627
9.47086125,668
9.483991533,653
9.497121815,643
9.510252098,634
9.523382381,630
9.536512663,642
9.549642946,647
9.562773229,609
9.575903511,634
9.589033794,627
9.602164077,662
9.615294359,635
9.628424642,590
9.641554925,589
9.654685208,600
9.66781549,601
9.680945773,592
9.694076056,626
9.707206338,636
9.720336621,636
9.733466904,660
9.746597186,639
9.759727469,635
9.772857752,654
9.785988034,635
9.799118317,620
9.8122486,612
9.825378882,607
9.838509165,618
9.851639448,652
9.86476973,713
9.877900013,636
9.891030296,632
9.904160578,606
9.917290861,638
9.930421144,583
9.943551426,623
9.956681709,636
9.969811992,640
9.982942274,646
9.996072557,621
10.00920284,619
10.02233312,589
10.03546341,588
10.04859369,651
10.06172397,639
10.07485425,575
10.08798454,646
10.10111482,637
10.1142451,636
10.12737538,675
10.14050567,580
10.15363595,602
10.16676623,641
10.17989652,617
10.1930268,575
10.20615708,594
10.21928736,630
10.23241765,657
10.24554793,638
10.25867821,576
10.27180849,599
10.28493878,631
10.29806906,580
10.31119934,649
10.32432962,562
10.33745991,610
10.35059019,583
10.36372047,601
10.37685076,566
10.38998104,602
10.40311132,636
10.4162416,635
10.42937189,571
10.44250217,570
10.45563245,616
10.46876273,608
10.48189302,603
10.4950233,591
10.50815358,679
10.52128386,605
10.53441415,601
10.54754443,588
10.56067471,571
10.573805,578
10.58693528,525
10.60006556,584
10.61319584,581
10.62632613,626
10.63945641,606
10.65258669,604
10.66571697,595
10.67884726,657
10.69197754,576
10.70510782,661
10.7182381,591
10.73136839,619
10.74449867,533
10.75762895,622
10.77075924,613
10.78388952,600
10.7970198,589
10.81015008,615
10.82328037,579
10.83641065,611
10.84954093,608
10.86267121,570
10.8758015,573
10.88893178,637
10.90206206,611
10.91519234,570
10.92832263,616
10.94145291,598
10.95458319,579
10.96771348,582
10.98084376,609
10.99397404,611
11.00710432,593
11.02023461,605
11.03336489,604
11.04649517,590
11.05962545,568
11.07275574,571
11.08588602,575
11.0990163,585
11.11214659,615
11.12527687,597
11.13840715,620
11.15153743,569
11.16466772,575
11.177798,595
11.19092828,600
11.20405856,592
11.21718885,569
11.23031913,637
11.24344941,590
11.25657969,559
11.26970998,543
11.28284026,554
11.29597054,593
11.30910083,652
11.32223111,611
11.33536139,649
11.34849167,586
11.36162196,583
11.37475224,588
11.38788252,576
11.4010128,594
11.41414309,651
11.42727337,527
11.44040365,577
11.45353393,667
11.46666422,628
11.4797945,569
11.49292478,590
11.50605507,573
11.51918535,620
11.53231563,582
11.54544591,592
11.5585762,609
11.57170648,535
11.58483676,583
11.59796704,548
11.61109733,633
11.62422761,626
11.63735789,617
11.65048817,607
11.66361846,618
11.67674874,556
11.68987902,587
11.70300931,567
11.71613959,561
11.72926987,626
11.74240015,581
11.75553044,594
11.76866072,611
11.781791,648
11.79492128,586
11.80805157,575
11.82118185,597
11.83431213,594
11.84744242,587
11.8605727,553
11.87370298,607
11.88683326,569
11.89996355,593
11.91309383,570
11.92622411,547
11.93935439,570
11.95248468,577
11.96561496,583
11.97874524,583
11.99187552,593
12.00500581,554
12.01813609,557
12.03126637,603
12.04439666,578
12.05752694,598
12.07065722,612
12.0837875,604
12.09691779,586
12.11004807,626
12.12317835,577
12.13630863,572
12.14943892,584
12.1625692,638
12.17569948,596
12.18882976,634
12.20196005,610
12.21509033,555
12.22822061,610
12.2413509,612
12.25448118,610
12.26761146,562
12.28074174,620
12.29387203,576
12.30700231,562
12.32013259,572
12.33326287,615
12.34639316,591
12.35952344,604
12.37265372,593
12.385784,609
12.39891429,550
12.41204457,592
12.42517485,546
12.43830514,577
12.45143542,652
12.4645657,576
12.47769598,628
12.49082627,573
12.50395655,569
12.51708683,574
12.53021711,568
12.5433474,585
12.55647768,600
12.56960796,632
12.58273824,559
12.59586853,595
12.60899881,621
12.62212909,601
12.63525938,600
12.64838966,585
12.66151994,545
12.67465022,565
12.68778051,526
12.70091079,549
12.71404107,575
12.72717135,618
12.74030164,592
12.75343192,581
12.7665622,618
12.77969249,546
12.79282277,527
12.80595305,577
12.81908333,539
12.83221362,598
12.8453439,550
12.85847418,512
12.87160446,577
12.88473475,564
12.89786503,612
12.91099531,563
12.92412559,573
12.93725588,538
12.95038616,528
12.96351644,592
12.97664673,558
12.98977701,564
13.00290729,572
13.01603757,516
13.02916786,576
13.04229814,549
13.05542842,547
13.0685587,567
13.08168899,561
13.09481927,575
13.10794955,610
13.12107983,572
13.13421012,598
13.1473404,575
13.16047068,570
13.17360097,575
13.18673125,603
13.19986153,617
13.21299181,591
13.2261221,584
13.23925238,584
13.25238266,592
13.26551294,607
13.27864323,610
13.29177351,591
13.30490379,595
13.31803407,607
13.33116436,562
13.34429464,588
13.35742492,585
13.37055521,599
13.38368549,566
13.39681577,567
13.40994605,536
13.42307634,598
13.43620662,597
13.4493369,606
13.46246718,626
13.47559747,647
13.48872775,679
13.50185803,654
13.51498831,714
13.5281186,678
13.54124888,658
13.55437916,702
13.56750945,708
13.58063973,750
13.59377001,738
13.60690029,701
13.62003058,792
13.63316086,737
13.64629114,787
13.65942142,814
13.67255171,875
13.68568199,869
13.69881227,977
13.71194256,1008
13.72507284,1020
13.73820312,1045
13.7513334,1172
13.76446369,1194
13.77759397,1275
13.79072425,1398
13.80385453,1555
13.81698482,1500
13.8301151,1787
13.84324538,1969
13.85637566,2123
13.86950595,2288
13.88263623,2511
13.89576651,2936
13.9088968,3233
13.92202708,3729
13.93515736,4493
13.94828764,5186
13.96141793,6209
13.97454821,7567
13.98767849,8523
14.00080877,9603
14.01393906,9321
14.02706934,8002
14.04019962,6145
14.0533299,4654
14.06646019,3127
14.07959047,2071
14.09272075,1587
14.10585104,1193
14.11898132,1085
14.1321116,981
14.14524188,916
14.15837217,871
14.17150245,812
14.18463273,790
14.19776301,780
14.2108933,714
14.22402358,754
14.23715386,697
14.25028414,638
14.26341443,647
14.27654471,691
14.28967499,641
14.30280528,647
14.31593556,627
14.32906584,649
14.34219612,572
14.35532641,624
14.36845669,587
14.38158697,604
14.39471725,629
14.40784754,608
14.42097782,607
14.4341081,582
14.44723838,617
14.46036867,612
14.47349895,618
14.48662923,629
14.49975952,589
14.5128898,593
14.52602008,598
14.53915036,590
14.55228065,582
14.56541093,583
14.57854121,602
14.59167149,634
14.60480178,558
14.61793206,618
14.63106234,578
14.64419263,553
14.65732291,579
14.67045319,577
14.68358347,610
14.69671376,621
14.70984404,605
14.72297432,559
14.7361046,572
14.74923489,568
14.76236517,577
14.77549545,559
14.78862573,594
14.80175602,547
14.8148863,540
14.82801658,578
14.84114687,574
14.85427715,567
14.86740743,549
14.88053771,571
14.893668,566
14.90679828,595
14.91992856,552
14.93305884,609
14.94618913,583
14.95931941,564
14.97244969,572
14.98557997,571
14.99871026,563
15.01184054,557
15.02497082,617
15.03810111,564
15.05123139,596
15.06436167,584
15.07749195,600
15.09062224,529
15.10375252,592
15.1168828,564
15.13001308,581
15.14314337,527
15.15627365,586
15.16940393,559
15.18253421,564
15.1956645,554
15.20879478,580
15.22192506,562
15.23505535,558
15.24818563,559
15.26131591,549
15.27444619,547
15.28757648,574
15.30070676,541
15.31383704,532
15.32696732,571
15.34009761,567
15.35322789,553
15.36635817,558
15.37948846,553
15.39261874,540
15.40574902,511
15.4188793,533
15.43200959,530
15.44513987,560
15.45827015,531
15.47140043,584
15.48453072,558
15.497661,545
15.51079128,541
15.52392156,592
15.53705185,553
15.55018213,521
15.56331241,538
15.5764427,525
15.58957298,556
15.60270326,543
15.61583354,560
15.62896383,555
15.64209411,532
15.65522439,560
15.66835467,566
15.68148496,522
15.69461524,538
15.70774552,524
15.7208758,530
15.73400609,570
15.74713637,555
15.76026665,514
15.77339694,542
