Angle,Intensity
5.00656514,750
5.019695423,796
5.032825705,797
5.045955988,787
5.059086271,766
5.072216553,749
5.085346836,773
5.098477119,777
5.111607401,749
5.124737684,752
5.137867967,742
5.150998249,758
5.164128532,756
5.177258815,734
5.190389097,781
5.20351938,714
5.216649663,760
5.229779946,825
5.242910228,758
5.256040511,763
5.269170794,745
5.282301076,716
5.295431359,718
5.308561642,731
5.321691924,748
5.334822207,728
5.34795249,762
5.361082772,715
5.374213055,693
5.387343338,801
5.40047362,763
5.413603903,731
5.426734186,743
5.439864468,734
5.452994751,747
5.466125034,706
5.479255316,819
5.492385599,773
5.505515882,735
5.518646164,781
5.531776447,773
5.54490673,708
5.558037012,707
5.571167295,742
5.584297578,754
5.59742786,728
5.610558143,721
5.623688426,734
5.636818708,801
5.649948991,715
5.663079274,764
5.676209557,738
5.689339839,724
5.702470122,700
5.715600405,717
5.728730687,737
5.74186097,745
5.754991253,760
5.768121535,742
5.781251818,741
5.794382101,735
5.807512383,731
5.820642666,771
5.833772949,724
5.846903231,757
5.860033514,762
5.873163797,742
5.886294079,761
5.899424362,709
5.912554645,730
5.925684927,709
5.93881521,704
5.951945493,691
5.965075775,724
5.978206058,746
5.991336341,740
6.004466623,698
6.017596906,716
6.030727189,783
6.043857471,809
6.056987754,728
6.070118037,744
6.083248319,724
6.096378602,717
6.109508885,710
6.122639168,748
6.13576945,719
6.148899733,743
6.162030016,753
6.175160298,745
6.188290581,744
6.201420864,706
6.214551146,737
6.227681429,727
6.240811712,767
6.253941994,739
6.267072277,743
6.28020256,748
6.293332842,755
6.306463125,783
6.319593408,766
6.33272369,723
6.345853973,688
6.358984256,745
6.372114538,704
6.385244821,772
6.398375104,711
6.411505386,737
6.424635669,754
6.437765952,708
6.450896234,663
6.464026517,714
6.4771568,741
6.490287082,735
6.503417365,725
6.516547648,684
6.52967793,733
6.542808213,685
6.555938496,666
6.569068779,708
6.582199061,722
6.595329344,712
6.608459627,681
6.621589909,714
6.634720192,736
6.647850475,713
6.660980757,713
6.67411104,727
6.687241323,719
6.700371605,685
6.713501888,677
6.726632171,735
6.739762453,718
6.752892736,729
6.766023019,724
6.779153301,728
6.792283584,745
6.805413867,686
6.818544149,681
6.831674432,722
6.844804715,736
6.857934997,737
6.87106528,711
6.884195563,695
6.897325845,666
6.910456128,716
6.923586411,721
6.936716693,691
6.949846976,684
6.962977259,750
6.976107541,697
6.989237824,719
7.002368107,683
7.01549839,696
7.028628672,711
7.041758955,720
7.054889238,686
7.06801952,710
7.081149803,704
7.094280086,688
7.107410368,716
7.120540651,683
7.133670934,746
7.146801216,653
7.159931499,740
7.173061782,727
7.186192064,678
7.199322347,692
7.21245263,685
7.225582912,714
7.238713195,702
7.251843478,705
7.26497376,635
7.278104043,674
7.291234326,734
7.304364608,726
7.317494891,725
7.330625174,705
7.343755456,701
7.356885739,696
7.370016022,699
7.383146304,744
7.396276587,690
7.40940687,705
7.422537152,742
7.435667435,680
7.448797718,728
7.461928001,676
7.475058283,691
7.488188566,709
7.501318849,689
7.514449131,706
7.527579414,704
7.540709697,727
7.553839979,720
7.566970262,730
7.580100545,676
7.593230827,749
7.60636111,726
7.619491393,671
7.632621675,706
7.645751958,725
7.658882241,680
7.672012523,700
7.685142806,704
7.698273089,686
7.711403371,680
7.724533654,687
7.737663937,730
7.750794219,693
7.763924502,671
7.777054785,738
7.790185067,671
7.80331535,656
7.816445633,750
7.829575915,671
7.842706198,638
7.855836481,707
7.868966763,655
7.882097046,684
7.895227329,727
7.908357612,685
7.921487894,710
7.934618177,667
7.94774846,739
7.960878742,719
7.974009025,717
7.987139308,717
8.00026959,702
8.013399873,707
8.026530156,699
8.039660438,687
8.052790721,683
8.065921004,721
8.079051286,711
8.092181569,723
8.105311852,711
8.118442134,698
8.131572417,704
8.1447027,698
8.157832982,682
8.170963265,680
8.184093548,690
8.19722383,672
8.210354113,623
8.223484396,664
8.236614678,677
8.249744961,653
8.262875244,644
8.276005526,694
8.289135809,701
8.302266092,698
8.315396375,710
8.328526657,680
8.34165694,641
8.354787223,697
8.367917505,709
8.381047788,703
8.394178071,691
8.407308353,711
8.420438636,661
8.433568919,649
8.446699201,646
8.459829484,654
8.472959767,702
8.486090049,693
8.499220332,667
8.512350615,665
8.525480897,615
8.53861118,689
8.551741463,660
8.564871745,628
8.578002028,608
8.591132311,651
8.604262593,684
8.617392876,694
8.630523159,635
8.643653441,659
8.656783724,681
8.669914007,633
8.683044289,679
8.696174572,731
8.709304855,687
8.722435137,627
8.73556542,671
8.748695703,660
8.761825986,650
8.774956268,668
8.788086551,630
8.801216834,669
8.814347116,685
8.827477399,675
8.840607682,685
8.853737964,667
8.866868247,705
8.87999853,631
8.893128812,681
8.906259095,628
8.919389378,671
8.93251966,691
8.945649943,684
8.958780226,634
8.971910508,668
8.985040791,680
8.998171074,660
9.011301356,637
9.024431639,675
9.037561922,711
9.050692204,648
9.063822487,650
9.07695277,628
9.090083052,706
9.103213335,686
9.116343618,662
9.1294739,687
9.142604183,677
9.155734466,675
9.168864748,647
9.181995031,662
9.195125314,642
9.208255597,638
9.221385879,618
9.234516162,664
9.247646445,656
9.260776727,644
9.27390701,651
9.287037293,678
9.300167575,670
9.313297858,641
9.326428141,689
9.339558423,623
9.352688706,654
9.365818989,628
9.378949271,652
9.392079554,600
9.405209837,675
9.418340119,634
9.431470402,640
9.444600685,613
9.457730967,630
9.47086125,677
9.483991533,657
9.497121815,626
9.510252098,643
9.523382381,619
9.536512663,640
9.549642946,633
9.562773229,683
9.575903511,634
9.589033794,621
9.602164077,647
9.615294359,604
9.628424642,596
9.641554925,629
9.654685208,633
9.66781549,676
9.680945773,644
9.694076056,669
9.707206338,596
9.720336621,631
9.733466904,571
9.746597186,640
9.759727469,676
9.772857752,670
9.785988034,602
9.799118317,609
9.8122486,641
9.825378882,633
9.838509165,657
9.851639448,625
9.86476973,666
9.877900013,621
9.891030296,604
9.904160578,632
9.917290861,674
9.930421144,620
9.943551426,628
9.956681709,607
9.969811992,621
9.982942274,670
9.996072557,668
10.00920284,604
10.022333122,640
10.035463405,616
10.048593688,637
10.06172397,628
10.074854253,618
10.087984536,602
10.101114819,591
10.114245101,658
10.127375384,638
10.140505667,683
10.153635949,624
10.166766232,590
10.179896515,643
10.193026797,615
10.20615708,616
10.219287363,592
10.232417645,632
10.245547928,612
10.258678211,575
10.271808493,616
10.284938776,622
10.298069059,624
10.311199341,592
10.324329624,587
10.337459907,609
10.350590189,577
10.363720472,597
10.376850755,646
10.389981037,639
10.40311132,591
10.416241603,615
10.429371885,592
10.442502168,600
10.455632451,598
10.468762733,674
10.481893016,644
10.495023299,620
10.508153581,602
10.521283864,639
10.534414147,634
10.54754443,672
10.560674712,650
10.573804995,565
10.586935278,584
10.60006556,571
10.613195843,648
10.626326126,622
10.639456408,631
10.652586691,621
10.665716974,571
10.678847256,610
10.691977539,613
10.705107822,588
10.718238104,611
10.731368387,594
10.74449867,599
10.757628952,588
10.770759235,607
10.783889518,638
10.7970198,639
10.810150083,562
10.823280366,604
10.836410648,566
10.849540931,585
10.862671214,558
10.875801496,608
10.888931779,643
10.902062062,566
10.915192344,604
10.928322627,574
10.94145291,574
10.954583192,578
10.967713475,634
10.980843758,610
10.993974041,635
11.007104323,570
11.020234606,582
11.033364889,532
11.046495171,578
11.059625454,572
11.072755737,573
11.085886019,613
11.099016302,623
11.112146585,570
11.125276867,613
11.13840715,628
11.151537433,641
11.164667715,578
11.177797998,658
11.190928281,591
11.204058563,581
11.217188846,620
11.230319129,603
11.243449411,562
11.256579694,583
11.269709977,588
11.282840259,574
11.295970542,583
11.309100825,625
11.322231107,650
11.33536139,607
11.348491673,535
11.361621955,590
11.374752238,563
11.387882521,630
11.401012803,611
11.414143086,588
11.427273369,560
11.440403652,561
11.453533934,591
11.466664217,632
11.4797945,615
11.492924782,570
11.506055065,546
11.519185348,630
11.53231563,616
11.545445913,591
11.558576196,578
11.571706478,613
11.584836761,606
11.597967044,602
11.611097326,564
11.624227609,607
11.637357892,611
11.650488174,613
11.663618457,581
11.67674874,616
11.689879022,612
11.703009305,598
11.716139588,593
11.72926987,580
11.742400153,616
11.755530436,590
11.768660718,604
11.781791001,602
11.794921284,577
11.808051566,592
11.821181849,577
11.834312132,589
11.847442415,618
11.860572697,591
11.87370298,624
11.886833263,655
11.899963545,583
11.913093828,571
11.926224111,635
11.939354393,631
11.952484676,625
11.965614959,618
11.978745241,611
11.991875524,571
12.005005807,566
12.018136089,612
12.031266372,611
12.044396655,568
12.057526937,593
12.07065722,626
12.083787503,584
12.096917785,597
12.110048068,589
12.123178351,583
12.136308633,627
12.149438916,582
12.162569199,627
12.175699481,637
12.188829764,618
12.201960047,605
12.215090329,614
12.228220612,678
12.241350895,623
12.254481177,602
12.26761146,632
12.280741743,652
12.293872026,577
12.307002308,582
12.320132591,601
12.333262874,573
12.346393156,592
12.359523439,591
12.372653722,578
12.385784004,585
12.398914287,593
12.41204457,578
12.425174852,571
12.438305135,628
12.451435418,578
12.4645657,569
12.477695983,573
12.490826266,558
12.503956548,561
12.517086831,571
12.530217114,579
12.543347396,597
12.556477679,554
12.569607962,590
12.582738244,576
12.595868527,582
12.60899881,595
12.622129092,597
12.635259375,589
12.648389658,599
12.66151994,586
12.674650223,582
12.687780506,616
12.700910788,616
12.714041071,574
12.727171354,607
12.740301637,603
12.753431919,573
12.766562202,524
12.779692485,541
12.792822767,573
12.80595305,580
12.819083333,580
12.832213615,565
12.845343898,594
12.858474181,636
12.871604463,570
12.884734746,542
12.897865029,546
12.910995311,571
12.924125594,565
12.937255877,609
12.950386159,585
12.963516442,558
12.976646725,567
12.989777007,524
13.00290729,580
13.016037573,597
13.029167855,537
13.042298138,552
13.055428421,543
13.068558703,555
13.081688986,615
13.094819269,603
13.107949551,586
13.121079834,569
13.134210117,584
13.147340399,633
13.160470682,585
13.173600965,537
13.186731248,608
13.19986153,556
13.212991813,603
13.226122096,618
13.239252378,597
13.252382661,606
13.265512944,547
13.278643226,572
13.291773509,586
13.304903792,531
13.318034074,585
13.331164357,595
13.34429464,625
13.357424922,596
13.370555205,644
13.383685488,570
13.39681577,553
13.409946053,578
13.423076336,574
13.436206618,606
13.449336901,631
13.462467184,628
13.475597466,634
13.488727749,640
13.501858032,614
13.514988314,658
13.528118597,710
13.54124888,688
13.554379162,656
13.567509445,740
13.580639728,744
13.59377001,717
13.606900293,756
13.620030576,792
13.633160859,790
13.646291141,786
13.659421424,810
13.672551707,924
13.685681989,857
13.698812272,1000
13.711942555,919
13.725072837,1050
13.73820312,1085
13.751333403,1112
13.764463685,1100
13.777593968,1217
13.790724251,1283
13.803854533,1406
13.816984816,1494
13.830115099,1670
13.843245381,1748
13.856375664,1921
13.869505947,2131
13.882636229,2297
13.895766512,2650
13.908896795,2873
13.922027077,3397
13.93515736,3860
13.948287643,4432
13.961417925,5218
13.974548208,6435
13.987678491,7303
14.000808773,8585
14.013939056,9610
14.027069339,9178
14.040199621,7899
14.053329904,6350
14.066460187,4694
14.07959047,3223
14.092720752,2071
14.105851035,1513
14.118981318,1254
14.1321116,1143
14.145241883,1029
14.158372166,930
14.171502448,914
14.184632731,846
14.197763014,846
14.210893296,779
14.224023579,699
14.237153862,746
14.250284144,708
14.263414427,751
14.27654471,734
14.289674992,654
14.302805275,666
14.315935558,641
14.32906584,645
14.342196123,660
14.355326406,638
14.368456688,591
14.381586971,601
14.394717254,628
14.407847536,612
14.420977819,628
14.434108102,646
14.447238384,631
14.460368667,648
14.47349895,606
14.486629232,606
14.499759515,624
14.512889798,602
14.526020081,604
14.539150363,615
14.552280646,640
14.565410929,551
14.578541211,591
14.591671494,581
14.604801777,598
14.617932059,579
14.631062342,591
14.644192625,638
14.657322907,582
14.67045319,524
14.683583473,561
14.696713755,610
14.709844038,567
14.722974321,578
14.736104603,563
14.749234886,557
14.762365169,603
14.775495451,576
14.788625734,618
14.801756017,570
14.814886299,551
14.828016582,567
14.841146865,615
14.854277147,548
14.86740743,572
14.880537713,541
14.893667995,534
14.906798278,610
14.919928561,565
14.933058844,573
14.946189126,581
14.959319409,547
14.972449692,570
14.985579974,559
14.998710257,549
15.01184054,543
15.024970822,561
15.038101105,562
15.051231388,555
15.06436167,513
15.077491953,583
15.090622236,539
15.103752518,549
15.116882801,579
15.130013084,561
15.143143366,612
15.156273649,585
15.169403932,562
15.182534214,548
15.195664497,562
15.20879478,561
15.221925062,557
15.235055345,561
15.248185628,588
15.26131591,594
15.274446193,597
15.287576476,569
15.300706758,568
15.313837041,532
15.326967324,593
15.340097606,551
15.353227889,567
15.366358172,563
15.379488455,610
15.392618737,546
15.40574902,519
15.418879303,522
15.432009585,549
15.445139868,591
15.458270151,524
15.471400433,558
15.484530716,539
15.497660999,510
15.510791281,541
15.523921564,582
15.537051847,522
15.550182129,555
15.563312412,561
15.576442695,569
15.589572977,530
15.60270326,542
15.615833543,498
15.628963825,511
15.642094108,541
15.655224391,496
15.668354673,530
15.681484956,556
15.694615239,540
15.707745521,522
15.720875804,522
15.734006087,567
15.747136369,584
15.760266652,562
15.773396935,522
15.786527217,531
15.7996575,596
15.812787783,527
15.825918066,556
15.839048348,491
15.852178631,563
15.865308914,553
15.878439196,594
15.891569479,547
15.904699762,562
15.917830044,514
15.930960327,539
15.94409061,521
15.957220892,570
15.970351175,545
15.983481458,520
15.99661174,547
16.009742023,544
16.022872306,581
16.036002588,521
16.049132871,514
16.062263154,551
16.075393436,552
16.088523719,554
16.101654002,517
16.114784284,505
16.127914567,541
16.14104485,545
16.154175132,586
16.167305415,485
16.180435698,558
16.19356598,546
16.206696263,548
16.219826546,511
16.232956828,504
16.246087111,527
16.259217394,525
16.272347677,532
16.285477959,546
16.298608242,584
16.311738525,546
16.324868807,535
16.33799909,542
16.351129373,541
16.364259655,554
16.377389938,518
16.390520221,508
16.403650503,507
16.416780786,530
16.429911069,532
16.443041351,497
16.456171634,552
16.469301917,549
16.482432199,502
16.495562482,534
16.508692765,568
16.521823047,518
16.53495333,507
16.548083613,522
16.561213895,560
16.574344178,544
16.587474461,509
16.600604743,550
16.613735026,523
16.626865309,564
16.639995591,514
16.653125874,513
16.666256157,491
16.679386439,573
16.692516722,520
16.705647005,536
16.718777288,541
16.73190757,526
16.745037853,568
16.758168136,502
16.771298418,518
16.784428701,572
16.797558984,496
16.810689266,546
16.823819549,481
16.836949832,579
16.850080114,539
16.863210397,487
16.87634068,494
16.889470962,504
16.902601245,530
16.915731528,532
16.92886181,541
16.941992093,499
16.955122376,489
16.968252658,508
16.981382941,519
16.994513224,523
17.007643506,502
17.020773789,519
17.033904072,495
17.047034354,540
17.060164637,536
17.07329492,510
17.086425202,503
17.099555485,493
17.112685768,475
17.12581605,535
17.138946333,570
17.152076616,472
17.165206899,519
17.178337181,448
17.191467464,510
17.204597747,460
17.217728029,499
17.230858312,486
17.243988595,496
17.257118877,531
17.27024916,472
17.283379443,519
17.296509725,472
17.309640008,522
17.322770291,519
17.335900573,473
17.349030856,460
17.362161139,484
17.375291421,556
17.388421704,539
17.401551987,568
17.414682269,481
17.427812552,481
17.440942835,500
17.454073117,497
17.4672034,480
17.480333683,515
17.493463965,482
17.506594248,497
17.519724531,535
17.532854813,487
17.545985096,578
17.559115379,546
17.572245661,482
17.585375944,541
17.598506227,494
17.61163651,498
17.624766792,511
17.637897075,537
17.651027358,510
17.66415764,521
17.677287923,519
17.690418206,500
17.703548488,470
17.716678771,487
17.729809054,454
17.742939336,554
17.756069619,517
17.769199902,502
17.782330184,518
17.795460467,528
17.80859075,508
17.821721032,513
17.834851315,426
