Voltage(mV),Current(mA/cm2)
-49.9322,21.611813
-39.933998,20.991462
-29.9218,20.844094
-19.922299,20.691696
-9.92811,20.527368
0.076294,20.348188
10.071,20.168421
20.0653,20.006316
30.079801,19.858831
40.073901,19.712281
50.071701,19.542573
60.083002,19.363626
70.0799,19.165848
80.074698,18.954152
90.085998,18.749123
100.080997,18.519766
110.073,18.265964
120.090999,18.046666
130.085006,17.812632
140.080005,17.57731
150.087997,17.327837
160.083994,17.063508
170.077994,16.781638
180.087,16.502105
190.081999,16.207134
200.091004,15.883743
210.089996,15.591111
220.080003,15.313918
230.094999,15.008655
240.086004,14.665029
250.081003,14.34924
260.095,13.9731
270.08599,13.638831
280.081004,13.213217
290.091008,12.819299
300.087988,12.474269
310.083985,12.174853
320.095986,11.787251
330.089986,11.422959
340.083003,11.043392
350.095004,10.665813
360.087007,10.237111
370.079994,9.856059
380.093008,9.463322
390.087992,9.0211
400.097996,8.734714
410.095006,8.43476
420.087993,8.099977
430.09901,7.866515
440.093011,7.545696
450.085998,7.135228
460.103005,6.793953
470.091999,6.347146
480.091989,5.96993
490.098,5.539404
500.092983,4.917228
510.089993,4.512889
520.098984,4.001181
530.094028,3.164585
540.084004,2.644433
550.100982,1.844713
560.092986,1.386632
570.087016,0.784857
580.10298,0.031524
590.09099,-0.562752
600.104988,-1.467415
610.092998,-2.216585
620.090008,-2.455345
630.101979,-2.833064
640.093029,-3.297591
650.083005,-3.689134
660.094976,-3.918316
670.089006,-5.010257
680.082023,-5.369836
690.093994,-5.705275
700.083971,-5.430503
710.079014,-7.379906
720.089972,-7.702597
730.086029,-8.047556
740.077019,-8.003743
750.087023,-8.852456
760.078013,-9.717299
770.072997,-9.483134
780.085027,-10.816713
790.077984,-11.636351
800.091982,-11.007673
810.082972,-12.845848
820.079029,-13.406549
830.088973,-15.066199
840.08503,-16.365965
850.07602,-18.069824
860.086024,-18.859416
870.078981,-20.20924
880.071998,-21.569824
890.080988,-22.410644
900.072992,-25.394152
910.067976,-28.390527
920.07798,-30.545147
930.070996,-32.658947
940.06598,-33.668656
950.073004,-37.426665
960.06602,-41.672982
970.058978,-42.39345
980.071008,-47.755673
990.058005,-54.055907
1000.069976,-60.5069
1010.429978,-68.64807
1020.439982,-83.024211
1030.410051,-108.595785
1040.380001,-183.707593
1050.459981,-221.208195
1060.439944,-235.054969
1070.4,-243.769599
1080.379963,-250.535663
1090.459943,-256.730995
1100.469947,-259.47368
1100.469947,-260.853802
1090.450048,-261.464336
1080.379963,-259.153218
1070.410013,-258.547368
1060.439944,-251.477203
1050.480008,-250.431573
1040.400028,-247.483038
1030.429959,-243.486542
1020.439982,-238.766077
1010.450006,-235.520478
1000.069976,-232.528656
990.059018,-230.277186
980.068982,-226.653807
970.054984,-221.011692
960.062981,-219.764918
950.066984,-214.996481
940.060973,-209.864338
930.068016,-206.150877
920.076013,-203.253799
910.067022,-200.667838
900.071025,-196.981282
890.075028,-194.299421
880.066991,-191.816374
870.074987,-187.314611
860.081017,-183.545031
850.067973,-180.798828
840.076983,-176.989479
830.081999,-173.357898
820.070982,-172.557897
810.078025,-165.962576
800.086975,-162.12983
790.071011,-158.695907
780.077994,-156.146196
770.066977,-153.247953
760.080993,-148.691226
750.082016,-145.463153
740.068018,-141.771935
730.077982,-139.866667
720.080972,-137.276022
710.071027,-133.747366
700.078011,-130.594147
690.088987,-127.127481
680.077016,-124.720464
670.081019,-122.105267
660.089016,-119.493566
650.072992,-116.017772
640.083015,-113.838009
630.096972,-110.439651
620.078981,-107.891694
610.081971,-104.985848
600.091994,-102.261288
590.077996,-99.29953
580.084026,-96.07064
570.075989,-93.469353
560.082972,-90.607017
550.092995,-87.997075
540.080011,-85.563976
530.086994,-83.186435
520.09201,-79.745612
510.082006,-77.478364
500.08601,-74.821405
490.092009,-72.023624
480.084002,-69.590993
470.086008,-67.126197
460.092008,-64.778828
450.076014,-62.469355
440.086991,-59.847834
430.092007,-57.609006
420.082003,-55.271931
410.089999,-53.141168
400.094002,-50.977074
390.085012,-48.772399
380.091012,-46.632634
370.077997,-44.340935
360.080004,-42.2469
350.09101,-40.071578
340.07901,-37.99462
330.085009,-36.00456
320.089996,-34.075323
310.079008,-32.011695
300.085992,-30.132631
290.089011,-28.246199
280.079007,-26.284328
270.083994,-24.421405
260.09801,-22.473567
250.084013,-20.529707
240.088999,-18.661286
230.097994,-16.826667
220.082998,-14.981403
210.089996,-13.158363
200.094,-11.344971
190.083995,-9.620515
180.086002,-7.882596
170.074999,-6.214445
160.080001,-4.537743
150.084004,-2.914047
140.075997,-1.266082
130.080998,0.391481
120.085999,1.989205
110.073,3.608105
100.078002,5.201427
90.084203,6.773146
80.072597,8.278761
70.075803,9.76338
60.0802,11.226936
50.074302,12.675906
40.077001,14.088654
30.081701,15.512983
20.066399,16.935906
10.0745,18.28386
0.074506,19.636023
-9.92358,20.960234
-19.9189,22.267836
-29.9199,23.541052
-39.931901,24.792632
-49.931299,26.003392
